id,x,target
row0,0.0,3.0
row1,0.01,3.02
row2,0.02,3.04
row3,0.03,3.06
row4,0.04,3.08
row5,0.05,3.1
row6,0.06,3.12
row7,0.07,3.14
row8,0.08,3.16
row9,0.09,3.18
row10,0.1,3.2
row11,0.11,3.22
row12,0.12,3.24
row13,0.13,3.26
row14,0.14,3.2800000000000002
row15,0.15,3.3
row16,0.16,3.32
row17,0.17,3.34
row18,0.18,3.36
row19,0.19,3.38
row20,0.2,3.4
row21,0.21,3.42
row22,0.22,3.44
row23,0.23,3.46
row24,0.24,3.48
row25,0.25,3.5
row26,0.26,3.52
row27,0.27,3.54
row28,0.28,3.56
row29,0.29,3.58
row30,0.3,3.6
row31,0.31,3.62
row32,0.32,3.64
row33,0.33,3.66
row34,0.34,3.68
row35,0.35,3.7
row36,0.36,3.7199999999999998
row37,0.37,3.74
row38,0.38,3.76
row39,0.39,3.7800000000000002
row40,0.4,3.8
row41,0.41,3.82
row42,0.42,3.84
row43,0.43,3.86
row44,0.44,3.88
row45,0.45,3.9
row46,0.46,3.92
row47,0.47,3.94
row48,0.48,3.96
row49,0.49,3.98
row50,0.5,4.0
row51,0.51,4.02
row52,0.52,4.04
row53,0.53,4.0600000000000005
row54,0.54,4.08
row55,0.55,4.1
row56,0.56,4.12
row57,0.57,4.14
row58,0.58,4.16
row59,0.59,4.18
row60,0.6,4.2
row61,0.61,4.22
row62,0.62,4.24
row63,0.63,4.26
row64,0.64,4.28
row65,0.65,4.3
row66,0.66,4.32
row67,0.67,4.34
row68,0.68,4.36
row69,0.69,4.38
row70,0.7,4.4
row71,0.71,4.42
row72,0.72,4.4399999999999995
row73,0.73,4.46
row74,0.74,4.48
row75,0.75,4.5
row76,0.76,4.52
row77,0.77,4.54
row78,0.78,4.5600000000000005
row79,0.79,4.58
row80,0.8,4.6
row81,0.81,4.62
row82,0.82,4.64
row83,0.83,4.66
row84,0.84,4.68
row85,0.85,4.7
row86,0.86,4.72
row87,0.87,4.74
row88,0.88,4.76
row89,0.89,4.78
row90,0.9,4.8
row91,0.91,4.82
row92,0.92,4.84
row93,0.93,4.86
row94,0.94,4.88
row95,0.95,4.9
row96,0.96,4.92
row97,0.97,4.9399999999999995
row98,0.98,4.96
row99,0.99,4.98
